street_name,hdb_age,mrt_nearest_distance,bus_interchange,max_floor_lvl,Mall_Nearest_Distance,Hawker_Nearest_Distance,Ammenities_same_block,Ammenities_within_500m,Ammenities_within_1km,Ammenities_within_2km,pri_sch_dist_vacancy,sec_sch_dist_cutoff,mrt_no,town,region,count
ADMIRALTY DR,19,140.48840476861884,1,15,169.3335418,2219.521999,0,1.0,0.0,1.0,34044.827955624285,3.04619340101698,1,SEMBAWANG,north,17
ADMIRALTY DR,19,183.71779242679267,1,15,215.0483954,2266.9791,0,1.0,0.0,1.0,19970.72349851149,3.217245691049917,1,SEMBAWANG,north,17
ADMIRALTY DR,19,210.3119467920904,1,15,213.0997781,2277.478933,0,1.0,0.0,1.0,17837.636241993554,3.059741321263546,1,SEMBAWANG,north,12
ADMIRALTY DR,19,227.74735255464893,1,15,258.1206336,2312.369157,0,1.0,0.0,1.0,18543.758960817882,3.199663689080374,1,SEMBAWANG,north,26
ADMIRALTY DR,19,284.16343481344944,1,15,297.0418955,2315.833876,0,1.0,0.0,1.0,15541.110402191976,2.875864987851063,1,SEMBAWANG,north,23
ADMIRALTY DR,20,251.7121806770605,1,15,255.4619905,2297.944801,0,1.0,0.0,1.0,16130.173675197577,3.0166787922425047,1,SEMBAWANG,north,22
ADMIRALTY DR,20,292.03542470001776,1,16,217.4799782,2150.367859,0,1.0,0.0,1.0,14861.728183370327,2.3956679188075616,1,SEMBAWANG,north,22
ADMIRALTY DR,20,306.080000772938,1,15,299.4845105,2270.131419,0,1.0,0.0,1.0,13392.509132290987,2.7242472904962427,1,SEMBAWANG,north,11
ADMIRALTY DR,20,327.2853596041018,1,16,272.764569,2162.150017,0,1.0,0.0,1.0,11812.026351986051,2.707222938921741,1,SEMBAWANG,north,23
ADMIRALTY DR,20,338.0222233855523,1,16,257.2714809,2108.081468,0,1.0,0.0,1.0,13362.340686695927,2.336095916857471,1,SEMBAWANG,north,29
ADMIRALTY DR,20,372.82216066921495,1,16,326.6248086,2158.168383,0,1.0,0.0,1.0,9114.1948612374,2.461558007988426,1,SEMBAWANG,north,49
ADMIRALTY DR,20,397.636379740368,1,16,339.4964864,2117.069285,0,1.0,0.0,1.0,8390.262692291968,2.43002594446209,1,SEMBAWANG,north,25
ADMIRALTY DR,20,398.64542898163967,1,16,319.9789958,2068.728561,0,1.0,0.0,2.0,10676.736755924554,2.440571327382028,1,SEMBAWANG,north,13
ADMIRALTY DR,20,507.04918551532,1,16,416.3881214,1959.027497,0,1.0,0.0,3.0,10782.047210747682,2.3738045557198406,1,SEMBAWANG,north,18
ADMIRALTY DR,20,511.6840929105264,1,16,432.509052,1989.803418,0,1.0,0.0,3.0,7863.256233451976,2.2676317211424792,1,SEMBAWANG,north,21
ADMIRALTY DR,20,546.0329342746124,1,16,463.9649901,1957.044643,0,1.0,0.0,4.0,8465.814397363087,2.2313488174088403,1,SEMBAWANG,north,27
ADMIRALTY DR,20,575.0227414587154,1,16,474.1209637,1873.791771,0,1.0,0.0,4.0,14109.402268559581,2.2376578561910003,1,SEMBAWANG,north,25
ADMIRALTY DR,20,588.1171727892261,1,16,499.0316222,1902.647722,0,1.0,0.0,4.0,10775.101932498726,2.3278601149269305,1,SEMBAWANG,north,25
ADMIRALTY DR,20,632.6228439609118,1,16,537.6564366,1847.071527,0,0.0,1.0,4.0,13360.400602692587,2.461596154492629,1,SEMBAWANG,north,16
ADMIRALTY DR,20,632.9549353329664,1,16,559.7271677,1935.638891,0,0.0,1.0,4.0,7679.3621437687,1.7733822589351584,1,SEMBAWANG,north,16
ADMIRALTY DR,20,635.2736062331444,1,16,533.1248771,1818.663987,0,0.0,1.0,4.0,15667.030080380913,2.3594300223193314,1,SEMBAWANG,north,28
ADMIRALTY DR,20,709.5313775392216,1,16,627.2595841,1847.039398,1,0.0,1.0,4.0,12362.460241856283,1.946390162336873,1,SEMBAWANG,north,15
ADMIRALTY DR,20,713.3134724970735,1,16,645.2228891,1916.4544,0,0.0,1.0,4.0,9903.836850671567,1.4532427312837979,1,SEMBAWANG,north,21
ADMIRALTY DR,20,755.9355373565404,1,16,670.7963265,1802.221137,0,0.0,1.0,4.0,14831.399085353338,2.041888315606437,1,SEMBAWANG,north,63
ADMIRALTY DR,20,762.3661568876176,1,16,686.2531673,1847.187645,0,0.0,1.0,4.0,13342.60151923889,1.6939258334510532,1,SEMBAWANG,north,20
